Region,Month,Sales,Profit,Expenses,Customer_Satisfaction,Employee_Count,New_Customers,Returning_Customers
North,December,11077,3436,9203,4.7,11,52,48
East,November,11110,2952,13103,3.9,9,53,42
West,June,12045,3514,8852,4.1,10,67,21
South,October,13258,2445,12210,4.1,8,45,34
North,August,15432,3023,9568,4.3,14,58,24
North,March,16054,2395,13536,4.5,11,53,28
West,May,15143,3832,14064,3.8,13,55,48
South,March,17632,3187,12035,4.0,10,48,35
East,September,11633,2698,9364,3.6,14,47,28
North,February,14507,4165,10404,3.7,10,48,35
East,December,12009,4355,14055,3.6,13,64,23
East,April,15039,3682,8238,3.9,12,50,36
East,June,14871,3987,11509,4.2,9,68,44
North,December,10403,4674,11008,4.6,15,64,50
West,October,11940,2103,9237,5.0,12,54,45
South,November,16743,3896,8182,4.0,11,50,32
North,March,19159,3750,12530,4.1,12,49,42
North,September,18342,2559,14661,4.2,8,50,26
South,June,11208,4673,14021,4.7,13,56,24
West,April,11033,2439,14110,4.1,15,68,34
West,March,12234,2891,10063,5.0,15,63,44
West,March,17630,4453,14205,4.5,10,69,33
East,January,14933,3707,12016,5.0,12,52,26
West,February,15207,4652,8984,4.4,8,46,37
West,December,15061,4152,10102,3.7,10,61,37
North,July,17746,2102,9269,3.7,15,48,21
South,April,19965,4572,10919,3.9,11,52,49
East,February,14845,4273,8076,3.9,15,60,47
North,September,10191,4888,9259,4.4,12,61,37
North,January,12593,4132,12086,4.9,14,47,27
North,April,19727,2411,8158,4.6,13,60,49
East,August,15340,4181,8477,4.2,13,48,46
West,August,18150,3388,13680,4.8,14,62,29
East,September,11661,4573,10478,4.7,8,68,41
West,August,16656,3417,8665,3.7,11,46,22
West,February,15940,2677,12923,4.7,11,44,21
North,August,10009,3609,11009,3.8,13,45,34
East,May,18617,4416,13573,4.8,14,46,48
South,February,15253,4049,13918,4.0,14,47,37
East,May,17207,2347,8248,4.6,9,40,43
East,January,11723,2929,8983,4.4,15,63,32
West,August,12033,4486,8380,4.2,10,40,39
South,November,10089,3635,13414,4.0,11,47,38
North,July,14900,3570,13193,4.3,11,60,37
East,April,12663,4904,11622,4.8,10,64,23
West,May,12206,4554,11858,4.7,15,52,42
East,April,11541,2606,10031,4.5,14,53,26
South,May,19043,3196,11092,4.3,10,51,44
East,January,12919,4818,14017,3.8,8,64,48
West,June,13400,3657,13519,3.9,9,70,43
North,August,15332,3644,10022,4.8,15,59,48
North,July,10162,2979,8933,3.8,15,54,31
South,February,17744,3230,12084,4.8,13,62,33
North,August,10719,4159,13087,4.4,10,63,37
South,December,17379,3827,11924,4.0,11,53,41
East,August,14153,3843,8088,3.5,8,69,41
North,November,11162,3638,8289,4.6,8,45,30
East,November,19233,2183,8346,3.9,8,54,42
West,February,18206,3188,9293,4.5,12,58,29
South,June,15244,2603,9715,3.5,12,60,47
South,August,19973,3113,9419,4.4,12,61,25
West,June,15956,3234,13339,4.5,10,57,48
East,February,10606,4019,10104,4.9,10,70,29
East,February,17169,2532,8161,4.0,9,68,39
West,December,18896,4959,14362,3.6,12,69,50
South,August,10905,4310,13979,4.6,14,60,21
East,December,16299,4953,14396,4.9,11,40,39
South,October,19278,2563,13149,5.0,8,62,41
East,November,17967,3204,12011,3.7,11,56,38
South,December,14317,4727,10554,3.6,15,42,22
West,November,19184,3775,12291,3.8,15,67,26
North,May,19535,4461,8147,3.7,8,57,39
East,February,11452,4558,14894,4.7,10,63,46
West,February,18180,4950,14328,4.9,8,49,45
South,June,17090,3078,12085,4.6,11,50,49
North,December,15616,4627,11832,4.7,14,45,30
East,January,10356,4447,12275,4.4,15,60,23
East,January,17549,2844,14219,4.5,13,66,47
East,January,19296,4002,12533,4.3,8,58,24
South,January,15961,2685,14721,4.8,8,48,20
West,September,11311,2626,13083,3.6,14,41,42
West,October,11868,4402,13278,3.8,15,63,48
South,February,12410,2460,9017,3.9,11,54,39
East,February,16067,2421,11556,4.5,8,42,28
West,November,18246,3071,8968,3.8,13,41,50
North,September,17742,4315,11667,3.9,8,58,37
East,March,13392,4469,9500,4.9,13,61,23
South,August,17961,2307,8936,3.5,10,45,50
South,December,17180,4961,12787,4.2,12,53,45
South,March,14537,3866,8601,4.0,9,61,30
West,March,14800,3315,14908,4.8,8,56,20
West,June,13391,4479,13605,4.4,13,61,39
West,January,17122,3631,11078,3.7,14,67,26
North,November,16870,4080,11909,4.4,12,51,45
South,April,18767,2162,12411,4.3,13,54,48
West,April,19461,4068,12715,4.8,12,70,32
North,January,16411,4851,13395,3.5,10,42,20
East,November,13752,4465,8905,4.2,8,64,49
West,March,15533,3424,12173,4.0,12,66,49
West,September,17089,4006,10611,3.8,15,56,50
